2020-02-15	0
2020-02-16	0
2020-02-17	0
2020-02-18	0
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	0
2020-02-25	0
2020-02-26	0
2020-02-27	0
2020-02-28	0
2020-02-29	0
2020-03-01	0
2020-03-02	0
2020-03-03	0
2020-03-04	0
2020-03-05	0
2020-03-06	0
2020-03-07	0
2020-03-08	0
2020-03-09	0
2020-03-10	0
2020-03-11	0
2020-03-12	0
2020-03-13	0
2020-03-14	0
2020-03-15	0
2020-03-16	0
2020-03-17	0
2020-03-18	0
2020-03-19	1
2020-03-20	0
2020-03-21	0
2020-03-22	0
2020-03-23	0
2020-03-24	0
2020-03-25	1
2020-03-26	0
2020-03-27	0
2020-03-28	2
2020-03-29	0
2020-03-30	5
2020-03-31	0
2020-04-01	0
2020-04-02	0
2020-04-03	1
2020-04-04	3
2020-04-05	0
2020-04-06	1
2020-04-07	0
2020-04-08	2
2020-04-09	0
2020-04-10	1
2020-04-11	6
2020-04-12	6
2020-04-13	32
2020-04-14	11
2020-04-15	3
2020-04-16	0
